year,month,region_code,acc_type,revenue,properties,rooms
2000,1,DR01,TOT,7582000.0,345,"14,092"
2000,2,DR01,TOT,10090000.0,374,"14,335"
2000,3,DR01,TOT,13198000.0,401,"14,819"
2000,4,DR01,TOT,15808000.0,423,"15,104"
2000,5,DR01,TOT,21442000.0,468,"15,606"
2000,6,DR01,TOT,26748000.0,506,"16,008"
2000,7,DR01,TOT,37878000.0,530,"16,892"
2000,8,DR01,TOT,41018000.0,529,"16,795"
2000,9,DR01,TOT,30981000.0,518,"16,482"
2000,10,DR01,TOT,17908000.0,446,"15,784"
2000,11,DR01,TOT,11037000.0,381,"14,893"
2000,12,DR01,TOT,9914000.0,404,"14,797"
2001,1,DR01,TOT,8699000.0,396,"14,789"
2001,2,DR01,TOT,10968000.0,397,"14,715"
2001,3,DR01,TOT,15862000.0,416,"15,109"
2001,4,DR01,TOT,16626000.0,440,"15,421"
2001,5,DR01,TOT,23160000.0,474,"15,717"
2001,6,DR01,TOT,29006000.0,529,"16,327"
2001,7,DR01,TOT,39538000.0,534,"16,391"
2001,8,DR01,TOT,44599000.0,531,"16,329"
2001,9,DR01,TOT,28346000.0,532,"16,405"
2001,10,DR01,TOT,17471000.0,434,"15,237"
2001,11,DR01,TOT,11478000.0,394,"14,781"
2001,12,DR01,TOT,10439000.0,410,"14,860"
2002,1,DR01,TOT,8839000.0,385,"14,667"
2002,2,DR01,TOT,12278000.0,396,"14,705"
2002,3,DR01,TOT,16400000.0,426,"15,134"
2002,4,DR01,TOT,17860000.0,438,"15,289"
2002,5,DR01,TOT,24598000.0,481,"15,685"
2002,6,DR01,TOT,29947000.0,528,"16,282"
2002,7,DR01,TOT,39378000.0,527,"16,208"
2002,8,DR01,TOT,45615000.0,526,"16,165"
2002,9,DR01,TOT,30498000.0,531,"16,295"
2002,10,DR01,TOT,18504000.0,418,"15,189"
2002,11,DR01,TOT,11791000.0,400,"14,639"
2002,12,DR01,TOT,11130000.0,401,"14,730"
2003,1,DR01,TOT,9449000.0,388,"14,663"
2003,2,DR01,TOT,12662000.0,389,"14,506"
2003,3,DR01,TOT,16504000.0,429,"15,235"
2003,4,DR01,TOT,18235000.0,430,"15,390"
2003,5,DR01,TOT,24277000.0,478,"15,830"
2003,6,DR01,TOT,28743000.0,535,"16,505"
2003,7,DR01,TOT,39345000.0,530,"16,521"
2003,8,DR01,TOT,46889000.0,533,"16,500"
2003,9,DR01,TOT,31296000.0,545,"16,713"
2003,10,DR01,TOT,19732000.0,427,"15,431"
2003,11,DR01,TOT,12638000.0,402,"15,102"
2003,12,DR01,TOT,11664000.0,425,"15,265"
2004,1,DR01,TOT,10790000.0,383,"14,820"
2004,2,DR01,TOT,13988000.0,395,"14,915"
2004,3,DR01,TOT,17112000.0,425,"15,150"
2004,4,DR01,TOT,19345000.0,427,"15,160"
2004,5,DR01,TOT,25368000.0,484,"15,954"
2004,6,DR01,TOT,31377000.0,549,"16,752"
2004,7,DR01,TOT,44190000.0,538,"16,720"
2004,8,DR01,TOT,49384000.0,552,"16,755"
2004,9,DR01,TOT,34905000.0,555,"16,960"
2004,10,DR01,TOT,20804000.0,450,"15,708"
2004,11,DR01,TOT,13250000.0,414,"15,104"
2004,12,DR01,TOT,13091000.0,439,"15,431"
2005,1,DR01,TOT,11115000.0,399,"14,873"
2005,2,DR01,TOT,14290000.0,403,"14,905"
2005,3,DR01,TOT,19444000.0,440,"15,465"
2005,4,DR01,TOT,21069000.0,435,"15,507"
2005,5,DR01,TOT,27455000.0,481,"16,112"
2005,6,DR01,TOT,33168000.0,542,"16,874"
2005,7,DR01,TOT,45580000.0,532,"16,855"
2005,8,DR01,TOT,51142000.0,543,"16,936"
2005,9,DR01,TOT,36088000.0,546,"17,045"
2005,10,DR01,TOT,19800000.0,454,"15,905"
2005,11,DR01,TOT,14863000.0,420,"15,361"
