year,month,region_code,region_name,revenue
2010.0,1.0,UC39,Campbell River,
2010.0,2.0,UC39,Campbell River,
2010.0,3.0,UC39,Campbell River,
2010.0,4.0,UC39,Campbell River,
2010.0,5.0,UC39,Campbell River,
2010.0,6.0,UC39,Campbell River,
2010.0,7.0,UC39,Campbell River,
2010.0,8.0,UC39,Campbell River,
2010.0,9.0,UC39,Campbell River,
2010.0,10.0,UC39,Campbell River,
2010.0,11.0,UC39,Campbell River,
2010.0,12.0,UC39,Campbell River,
2011.0,1.0,UC39,Campbell River,
2011.0,2.0,UC39,Campbell River,
2011.0,3.0,UC39,Campbell River,
2011.0,4.0,UC39,Campbell River,
2011.0,5.0,UC39,Campbell River,
2011.0,6.0,UC39,Campbell River,
2011.0,7.0,UC39,Campbell River,
2011.0,8.0,UC39,Campbell River,
2011.0,9.0,UC39,Campbell River,
2011.0,10.0,UC39,Campbell River,
2011.0,11.0,UC39,Campbell River,
2011.0,12.0,UC39,Campbell River,
2012.0,1.0,UC39,Campbell River,
2012.0,2.0,UC39,Campbell River,
2012.0,3.0,UC39,Campbell River,
2012.0,4.0,UC39,Campbell River,
2012.0,5.0,UC39,Campbell River,
2012.0,6.0,UC39,Campbell River,
2012.0,7.0,UC39,Campbell River,
2012.0,8.0,UC39,Campbell River,
2012.0,9.0,UC39,Campbell River,
2012.0,10.0,UC39,Campbell River,
2012.0,11.0,UC39,Campbell River,
2012.0,12.0,UC39,Campbell River,
2013.0,1.0,UC39,Campbell River,
2013.0,2.0,UC39,Campbell River,
2013.0,3.0,UC39,Campbell River,
2013.0,4.0,UC39,Campbell River,
2013.0,5.0,UC39,Campbell River,
2013.0,6.0,UC39,Campbell River,
2013.0,7.0,UC39,Campbell River,
2013.0,8.0,UC39,Campbell River,
2013.0,9.0,UC39,Campbell River,
2013.0,10.0,UC39,Campbell River,
2013.0,11.0,UC39,Campbell River,
2013.0,12.0,UC39,Campbell River,
2014.0,1.0,UC39,Campbell River,
2014.0,2.0,UC39,Campbell River,
2014.0,3.0,UC39,Campbell River,
2014.0,4.0,UC39,Campbell River,
2014.0,5.0,UC39,Campbell River,
2014.0,6.0,UC39,Campbell River,
2014.0,7.0,UC39,Campbell River,
2014.0,8.0,UC39,Campbell River,
2014.0,9.0,UC39,Campbell River,
2014.0,10.0,UC39,Campbell River,
2014.0,11.0,UC39,Campbell River,
2014.0,12.0,UC39,Campbell River,
2015.0,1.0,UC39,Campbell River,
2015.0,2.0,UC39,Campbell River,
2015.0,3.0,UC39,Campbell River,
2015.0,4.0,UC39,Campbell River,
2015.0,5.0,UC39,Campbell River,
2015.0,6.0,UC39,Campbell River,
2015.0,7.0,UC39,Campbell River,
2015.0,8.0,UC39,Campbell River,
2015.0,9.0,UC39,Campbell River,
2015.0,10.0,UC39,Campbell River,
2015.0,11.0,UC39,Campbell River,
2015.0,12.0,UC39,Campbell River,
2016.0,1.0,UC39,Campbell River,
2016.0,2.0,UC39,Campbell River,
2016.0,3.0,UC39,Campbell River,
2016.0,4.0,UC39,Campbell River,
2016.0,5.0,UC39,Campbell River,
2016.0,6.0,UC39,Campbell River,
2016.0,7.0,UC39,Campbell River,
2016.0,8.0,UC39,Campbell River,
2016.0,9.0,UC39,Campbell River,
2016.0,10.0,UC39,Campbell River,
2016.0,11.0,UC39,Campbell River,
2016.0,12.0,UC39,Campbell River,
2017.0,1.0,UC39,Campbell River,
2017.0,2.0,UC39,Campbell River,
2017.0,3.0,UC39,Campbell River,910000.0
2017.0,4.0,UC39,Campbell River,920000.0
2017.0,5.0,UC39,Campbell River,1116000.0
2017.0,6.0,UC39,Campbell River,1731000.0
2017.0,7.0,UC39,Campbell River,2268000.0
2017.0,8.0,UC39,Campbell River,2505000.0
2017.0,9.0,UC39,Campbell River,2144000.0
2017.0,10.0,UC39,Campbell River,1136000.0
2017.0,11.0,UC39,Campbell River,860000.0
2017.0,12.0,UC39,Campbell River,840000.0
2018.0,1.0,UC39,Campbell River,742000.0
2018.0,2.0,UC39,Campbell River,785000.0
2018.0,3.0,UC39,Campbell River,1040000.0
2018.0,4.0,UC39,Campbell River,995000.0
2018.0,5.0,UC39,Campbell River,1136000.0
2018.0,6.0,UC39,Campbell River,1995000.0
2018.0,7.0,UC39,Campbell River,2334000.0
