year,region_code,value
2007,DR01,"79,200"
2008,DR01,"80,300"
2009,DR01,"82,400"
2010,DR01,"83,400"
2011,DR01,"77,500"
2012,DR01,"79,900"
2013,DR01,"80,000"
2014,DR01,"78,400"
2015,DR01,"77,600"
2016,DR01,"80,400"
2017,DR01,"78,400"
2018,DR01,"79,900"
2007,DR02,"266,000"
2008,DR02,"269,400"
2009,DR02,"277,100"
2010,DR02,"275,400"
2011,DR02,"261,100"
2012,DR02,"268,000"
2013,DR02,"277,600"
2014,DR02,"284,000"
2015,DR02,"291,100"
2016,DR02,"295,200"
2017,DR02,"311,400"
2018,DR02,"330,100"
2007,DR03,"54,200"
2008,DR03,"56,400"
2009,DR03,"61,400"
2010,DR03,"57,800"
2011,DR03,"59,000"
2012,DR03,"58,700"
2013,DR03,"58,600"
2014,DR03,"52,800"
2015,DR03,"54,300"
2016,DR03,"53,100"
2017,DR03,"56,600"
2018,DR03,"50,700"
2007,DR04,"17,800"
2008,DR04,"15,900"
2009,DR04,"16,600"
2010,DR04,"16,500"
2011,DR04,"16,700"
2012,DR04,"14,900"
2013,DR04,"14,700"
2014,DR04,"13,100"
2015,DR04,"14,100"
2016,DR04,"16,000"
2017,DR04,"15,600"
2018,DR04,"16,000"
2007,DR05,"14,800"
2008,DR05,"16,000"
2009,DR05,"14,000"
2010,DR05,"15,100"
2011,DR05,"14,600"
2012,DR05,"14,300"
2013,DR05,"12,200"
2014,DR05,"13,500"
2015,DR05,"12,700"
2016,DR05,"14,000"
2017,DR05,"13,600"
2018,DR05,"13,200"
2007,"DR06, DR07","9,400"
2008,"DR06, DR07","7,400"
2009,"DR06, DR07","7,500"
2010,"DR06, DR07","7,200"
2011,"DR06, DR07","7,900"
2012,"DR06, DR07","7,700"
2013,"DR06, DR07","8,500"
2014,"DR06, DR07","6,200"
2015,"DR06, DR07","6,700"
2016,"DR06, DR07","7,000"
2017,"DR06, DR07","7,200"
2018,"DR06, DR07","8,100"
2007,DR08,"7,900"
2008,DR08,"9,100"
2009,DR08,"9,200"
2010,DR08,"7,800"
2011,DR08,"9,200"
2012,DR08,"9,000"
2013,DR08,"7,600"
2014,DR08,"8,300"
2015,DR08,"10,400"
2016,DR08,"8,500"
2017,DR08,"8,300"
2018,DR08,"8,800"
